 [2023-04-17 13:07:53,104] Pre-Condition - Step 01: Open browser and navigate to website
 [2023-04-17 13:07:59,926] Register_01 - Step 01: Click to 'Register' link
 [2023-04-17 13:08:01,240] Register_01 - Step 02: Click to 'Register' button
 [2023-04-17 13:08:01,650] Register_01 - Step 03: Verify Firstname error message displayed
 [2023-04-17 13:08:01,785] Register_01 - Step 04: Verify Lastname error message displayed
 [2023-04-17 13:08:01,927] Register_01 - Step 05: Verify Email error message displayed
 [2023-04-17 13:08:01,989] Register_01 - Step 06: Verify Password error message displayed
 [2023-04-17 13:08:02,052] Register_01 - Step 07: Verify ConfirmPassword error message displayed
 [2023-04-17 13:08:02,131] Register_02 - Step 01: Click to Register link
 [2023-04-17 13:08:02,633] Register_02 - Step 02: Enter to Firstname textbox with value 'A'
 [2023-04-17 13:08:02,727] Register_02 - Step 03: Enter to Lastname textbox with value 'B'
 [2023-04-17 13:08:02,826] Register_02 - Step 04: Enter to Email textbox with value 'afc@@gmail.com'
 [2023-04-17 13:08:02,947] Register_02 - Step 05: Enter to Password textbox with value '123456'
 [2023-04-17 13:08:03,073] Register_02 - Step 06: Enter to Confirm Password textbox with value '123456'
 [2023-04-17 13:08:03,183] Register_02 - Step 07: Click to 'Register' button
 [2023-04-17 13:08:03,502] Register_02 - Step 08: Verify wrong email message displayed
 [2023-04-17 13:08:03,590] Register_03 - Step 01: Click to 'Register; link
 [2023-04-17 13:08:04,013] Register_03 - Step 02: Enter to Firstname textbox with value 'A'
 [2023-04-17 13:08:04,138] Register_03 - Step 03: Enter to Lastname textbox with value 'B'
 [2023-04-17 13:08:04,259] Register_03 - Step 04: Enter to Email textbox with value 'afc79908@gmail.com'
 [2023-04-17 13:08:04,387] Register_03 - Step 05: Enter to Password textbox with value '123456'
 [2023-04-17 13:08:04,529] Register_03 - Step 06: Enter to Confirm Password textbox with value '123456'
 [2023-04-17 13:08:04,654] Register_03 - Step 07: Click to 'Register' button
 [2023-04-17 13:08:05,554] Register_03 - Step 08: Verify register success message is displayed
 [2023-04-17 13:08:05,648] Register_04 - Step 01: Click to 'Register' link
 [2023-04-17 13:08:06,291] Register_04 - Step 02: Enter to Firstname textbox with value 'A'
 [2023-04-17 13:08:06,502] Register_04 - Step 03: Enter to Lastname textbox with value 'B'
 [2023-04-17 13:08:06,691] Register_04 - Step 04: Enter to Email textbox with value 'afc79908@gmail.com'
 [2023-04-17 13:08:06,855] Register_04 - Step 05: Enter to Password textbox with value '123456'
 [2023-04-17 13:08:07,003] Register_04 - Step 06: Enter to Confirm Password textbox with value '123456'
 [2023-04-17 13:08:07,134] Register_04 - Step 07: Click to 'Register' button
 [2023-04-17 13:08:07,728] Register_04 - Step 08: Verify exsting email message is displayed
 [2023-04-17 13:08:07,830] Register_05 - Step 01: Click to 'Register' link
 [2023-04-17 13:08:08,519] Register_05 - Step 02: Enter to Firstname textbox with value 'A'
 [2023-04-17 13:08:08,779] Register_05 - Step 03: Enter to Lastname textbox with value 'B'
 [2023-04-17 13:08:08,966] Register_05 - Step 04: Enter to Email textbox with value 'afc79908@gmail.com'
 [2023-04-17 13:08:09,163] Register_05 - Step 05: Enter to Password textbox with value '12345'
 [2023-04-17 13:08:09,364] Register_05 - Step 06: Enter to Confirm Password textbox with value '123456'
 [2023-04-17 13:08:09,534] Register_05 - Step 07: Click to 'Register' button
 [2023-04-17 13:08:09,891] Register_05 - Step 08: Verify Password error message eror displayed
 [2023-04-17 13:08:09,997] Register_06 - Step 01: Click to 'Register' link
 [2023-04-17 13:08:10,577] Register_06 - Step 02: Enter to Firstname textbox with value 'A'
 [2023-04-17 13:08:10,683] Register_06 - Step 03: Enter to Lastname textbox with value 'B'
 [2023-04-17 13:08:10,843] Register_06 - Step 04: Enter to Email textbox with value 'afc79908@gmail.com'
 [2023-04-17 13:08:10,978] Register_06 - Step 05: Enter to Password textbox with value '123456'
 [2023-04-17 13:08:11,095] Register_06 - Step 06: Enter to Confirm Password textbox with value '000000'
 [2023-04-17 13:08:11,227] Register_06 - Step 07: Click to 'Register' button
 [2023-04-17 13:08:12,043] Register_06 - Step 08: Verify Confirm Password error message eror displayed 
 [2023-04-17 13:08:12,114] OS name = windows 11
 [2023-04-17 13:08:12,114] Driver instance name = firefoxdriver: firefox on windows (72d3b760-7613-41be-a2ed-059e76f801cb)
 [2023-04-17 15:23:31,643] Pre-Condition - Step 01: Open browser and navigate to website
 [2023-04-17 15:23:41,008] Register_01 - Step 01: Click to 'Register' link
 [2023-04-17 15:23:42,323] Register_01 - Step 02: Click to 'Register' button
 [2023-04-17 15:23:42,722] Register_01 - Step 03: Verify Firstname error message displayed
 [2023-04-17 15:23:42,818] Register_01 - Step 04: Verify Lastname error message displayed
 [2023-04-17 15:23:42,910] Register_01 - Step 05: Verify Email error message displayed
 [2023-04-17 15:23:43,010] Register_01 - Step 06: Verify Password error message displayed
 [2023-04-17 15:23:43,110] Register_01 - Step 07: Verify ConfirmPassword error message displayed
 [2023-04-17 15:23:43,202] Register_02 - Step 01: Click to Register link
 [2023-04-17 15:23:43,784] Register_02 - Step 02: Enter to Firstname textbox with value 'A'
 [2023-04-17 15:23:43,944] Register_02 - Step 03: Enter to Lastname textbox with value 'B'
 [2023-04-17 15:23:44,080] Register_02 - Step 04: Enter to Email textbox with value 'afc@@gmail.com'
